date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2007-03-14,3906.149902,3906.149902,3906.149902,3906.149902,3906.149902,0,0,0.0,0.0,0.0,"March 14, 07",0.0
2007-03-13,4017.75,4017.75,4017.75,4017.75,4017.75,0,0,0.0,0.0,0.0,"March 13, 07",0.0
2007-03-12,4066.780029,4066.780029,4066.780029,4066.780029,4066.780029,0,0,0.0,0.0,0.0,"March 12, 07",0.0
2007-03-09,4091.669922,4091.669922,4091.669922,4091.669922,4091.669922,0,0,0.0,0.0,0.0,"March 09, 07",0.0
2007-03-08,4082.580078,4082.580078,4082.580078,4082.580078,4082.580078,0,0,0.0,0.0,0.0,"March 08, 07",0.0
2007-03-07,4021.969971,4021.969971,4021.969971,4021.969971,4021.969971,0,0,0.0,0.0,0.0,"March 07, 07",0.0
2007-03-06,4010.389893,4010.389893,4010.389893,4010.389893,4010.389893,0,0,0.0,0.0,0.0,"March 06, 07",0.0
2007-03-05,3980.060059,3980.060059,3980.060059,3980.060059,3980.060059,0,0,0.0,0.0,0.0,"March 05, 07",0.0
2007-03-02,4011.629883,4011.629883,4011.629883,4011.629883,4011.629883,0,0,0.0,0.0,0.0,"March 02, 07",0.0
2007-03-01,4031.300049,4031.300049,4031.300049,4031.300049,4031.300049,0,0,0.0,0.0,0.0,"March 01, 07",0.0
2007-02-28,4087.120117,4087.120117,4087.120117,4087.120117,4087.120117,0,0,0.0,0.0,0.0,"February 28, 07",0.0
2007-02-27,4156.72998,4156.72998,4156.72998,4156.72998,4156.72998,0,0,0.0,0.0,0.0,"February 27, 07",0.0
2007-02-26,4272.319824,4272.319824,4272.319824,4272.319824,4272.319824,0,0,0.0,0.0,0.0,"February 26, 07",0.0
2007-02-23,4245.990234,4245.990234,4245.990234,4245.990234,4245.990234,0,0,0.0,0.0,0.0,"February 23, 07",0.0
2007-02-22,4241.47998,4241.47998,4241.47998,4241.47998,4241.47998,0,0,0.0,0.0,0.0,"February 22, 07",0.0
2007-02-21,4232.52002,4232.52002,4232.52002,4232.52002,4232.52002,0,0,0.0,0.0,0.0,"February 21, 07",0.0
2007-02-20,4250.299805,4250.299805,4250.299805,4250.299805,4250.299805,0,0,0.0,0.0,0.0,"February 20, 07",0.0
2007-02-19,4266.22998,4266.22998,4266.22998,4266.22998,4266.22998,0,0,0.0,0.0,0.0,"February 19, 07",0.0
2007-02-16,4247.399902,4247.399902,4247.399902,4247.399902,4247.399902,0,0,0.0,0.0,0.0,"February 16, 07",0.0
2007-02-15,4258.129883,4258.129883,4258.129883,4258.129883,4258.129883,0,0,0.0,0.0,0.0,"February 15, 07",0.0
2007-02-14,4267.02002,4267.02002,4267.02002,4267.02002,4267.02002,0,0,0.0,0.0,0.0,"February 14, 07",0.0
2007-02-13,4239.029785,4239.029785,4239.029785,4239.029785,4239.029785,0,0,0.0,0.0,0.0,"February 13, 07",0.0
2007-02-12,4213.850098,4213.850098,4213.850098,4213.850098,4213.850098,0,0,0.0,0.0,0.0,"February 12, 07",0.0
2007-02-09,4248.240234,4248.240234,4248.240234,4248.240234,4248.240234,0,0,0.0,0.0,0.0,"February 09, 07",0.0
2007-02-08,4225.919922,4225.919922,4225.919922,4225.919922,4225.919922,0,0,0.0,0.0,0.0,"February 08, 07",0.0
2007-02-07,4251.060059,4251.060059,4251.060059,4251.060059,4251.060059,0,0,0.0,0.0,0.0,"February 07, 07",0.0
2007-02-06,4233.470215,4233.470215,4233.470215,4233.470215,4233.470215,0,0,0.0,0.0,0.0,"February 06, 07",0.0
2007-02-05,4227.470215,4227.470215,4227.470215,4227.470215,4227.470215,0,0,0.0,0.0,0.0,"February 05, 07",0.0
2007-02-02,4228.390137,4228.390137,4228.390137,4228.390137,4228.390137,0,0,0.0,0.0,0.0,"February 02, 07",0.0
2007-02-01,4211.319824,4211.319824,4211.319824,4211.319824,4211.319824,0,0,0.0,0.0,0.0,"February 01, 07",0.0
2007-01-31,4178.540039,4178.540039,4178.540039,4178.540039,4178.540039,0,0,0.0,0.0,0.0,"January 31, 07",0.0
2007-01-30,4195.209961,4195.209961,4195.209961,4195.209961,4195.209961,0,0,0.0,0.0,0.0,"January 30, 07",0.0
2007-01-29,4166.830078,4166.830078,4166.830078,4166.830078,4166.830078,0,0,0.0,0.0,0.0,"January 29, 07",0.0
2007-01-26,4149.009766,4149.009766,4149.009766,4149.009766,4149.009766,0,0,0.0,0.0,0.0,"January 26, 07",0.0
2007-01-25,4175.700195,4175.700195,4175.700195,4175.700195,4175.700195,0,0,0.0,0.0,0.0,"January 25, 07",0.0
2007-01-24,4187.549805,4187.549805,4187.549805,4187.549805,4187.549805,0,0,0.0,0.0,0.0,"January 24, 07",0.0
2007-01-23,4140.189941,4140.189941,4140.189941,4140.189941,4140.189941,0,0,0.0,0.0,0.0,"January 23, 07",0.0
