number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_neurons,state
83,0.028945933218165187,2024-02-01 16:10:54.192263,2024-02-01 16:11:35.470441,0 days 00:00:41.278178,32,92,0.01,150,COMPLETE
84,0.0297526816084351,2024-02-01 16:11:35.489270,2024-02-01 16:12:15.656163,0 days 00:00:40.166893,32,89,0.01,150,COMPLETE
85,0.02997441543744675,2024-02-01 16:12:15.673643,2024-02-01 16:12:52.192977,0 days 00:00:36.519334,32,81,0.01,150,COMPLETE
86,0.046713225632014764,2024-02-01 16:12:52.212227,2024-02-01 16:13:12.382606,0 days 00:00:20.170379,128,86,0.01,150,COMPLETE
87,0.0732285045920082,2024-02-01 16:13:12.407991,2024-02-01 16:14:00.154264,0 days 00:00:47.746273,32,99,0.0001,150,COMPLETE
88,0.03739690611187206,2024-02-01 16:14:00.184748,2024-02-01 16:14:20.689599,0 days 00:00:20.504851,32,84,0.01,30,COMPLETE
89,0.029887260745149535,2024-02-01 16:14:20.712094,2024-02-01 16:15:03.971107,0 days 00:00:43.259013,32,93,0.01,150,COMPLETE
90,0.04224183942308988,2024-02-01 16:15:03.999855,2024-02-01 16:15:42.250390,0 days 00:00:38.250535,32,80,0.001,150,COMPLETE
91,0.03330315590788639,2024-02-01 16:15:42.276239,2024-02-01 16:16:17.552687,0 days 00:00:35.276448,32,75,0.01,150,COMPLETE
92,0.030665140582000244,2024-02-01 16:16:17.577834,2024-02-01 16:16:55.931549,0 days 00:00:38.353715,32,83,0.01,150,COMPLETE
93,0.028051121083010278,2024-02-01 16:16:55.953492,2024-02-01 16:17:36.105356,0 days 00:00:40.151864,32,87,0.01,150,COMPLETE
94,0.02910796184526011,2024-02-01 16:17:36.138036,2024-02-01 16:18:17.305022,0 days 00:00:41.166986,32,90,0.01,150,COMPLETE
95,0.031073706663312745,2024-02-01 16:18:17.328912,2024-02-01 16:18:36.254773,0 days 00:00:18.925861,32,76,0.01,50,COMPLETE
96,0.029218626324585672,2024-02-01 16:18:36.281206,2024-02-01 16:19:08.062461,0 days 00:00:31.781255,32,69,0.01,150,COMPLETE
97,0.03405547436427127,2024-02-01 16:19:08.091884,2024-02-01 16:19:44.338740,0 days 00:00:36.246856,32,79,0.01,150,COMPLETE
98,0.03173835208679576,2024-02-01 16:19:44.366014,2024-02-01 16:20:05.910509,0 days 00:00:21.544495,64,77,0.01,150,COMPLETE
99,0.05251266504497374,2024-02-01 16:20:05.938922,2024-02-01 16:20:16.622122,0 days 00:00:10.683200,32,20,0.01,150,COMPLETE
